"LOCATION","Country","FAMILY","Family type","HBTOPUPS","Include housing benefits","TYPE","Type of indicator","TIME","Year","Value","Flag Codes","Flags"
"AUS","Australia","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2001","2001",11591,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2002","2002",11950,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2003","2003",12306,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2004","2004",12600,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2005","2005",12930,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2006","2006",13291,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2007","2007",13736,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2008","2008",14152,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2009","2009",14677,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2010","2010",14981,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2011","2011",15374,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2012","2012",15857,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2013","2013",16548,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2014","2014",17001,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2015","2015",17286,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2016","2016",17560,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2017","2017",17592,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2018","2018",17696,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2001","2001",49,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2002","2002",47,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2003","2003",46,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2004","2004",44,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2005","2005",41,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2006","2006",39,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2007","2007",37,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2008","2008",35,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2009","2009",36,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2010","2010",36,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2011","2011",35,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2012","2012",35,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2013","2013",35,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2014","2014",35,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2015","2015",35,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2016","2016",36,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2017","2017",35,,
"AUS","Australia","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2018","2018",34,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2001","2001",113658,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2002","2002",7926,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2003","2003",8558,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2004","2004",8781,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2005","2005",8922,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2006","2006",9099,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2007","2007",9256,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2008","2008",9482,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2009","2009",9677,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2010","2010",10143,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2011","2011",10260,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2012","2012",10427,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2013","2013",10719,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2014","2014",10977,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2015","2015",11163,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2016","2016",11297,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2017","2017",11387,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2018","2018",11638,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2019","2019",11940,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2001","2001",43,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2002","2002",41,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2003","2003",44,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2004","2004",44,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2005","2005",45,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2006","2006",45,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2007","2007",43,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2008","2008",41,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2009","2009",41,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2010","2010",43,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2011","2011",42,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2012","2012",42,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2013","2013",42,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2014","2014",42,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2015","2015",43,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2016","2016",41,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2017","2017",41,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2018","2018",41,,
"AUT","Austria","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2019","2019",42,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2001","2001",266352,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2002","2002",7004,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2003","2003",7144,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2004","2004",7144,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2005","2005",7360,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2006","2006",7507,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2007","2007",7888,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2008","2008",8371,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2009","2009",8539,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2010","2010",8709,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2011","2011",9061,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2012","2012",9427,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2013","2013",9616,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2014","2014",9808,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2015","2015",9808,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2016","2016",10005,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2017","2017",10617,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2018","2018",10716,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2019","2019",10926,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2001","2001",39,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2002","2002",40,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2003","2003",41,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2004","2004",40,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2005","2005",39,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2006","2006",38,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2007","2007",39,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2008","2008",39,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2009","2009",39,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2010","2010",39,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2011","2011",40,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2012","2012",39,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2013","2013",40,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2014","2014",40,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2015","2015",39,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2016","2016",39,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2017","2017",40,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2018","2018",40,,
"BEL","Belgium","SINGLE","Single person without children","1","Yes","0","GMI amount, in % of median disposable income","2019","2019",40,,
"CAN","Canada","SINGLE","Single person without children","1","Yes","1","GMI amount, in national currency","2001","2001",6777,,
