"LOCATION","Country","SUBJECT","Subject","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2005","2005",,,"0","Units",,,10404.22,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2006","2006",,,"0","Units",,,10632.72,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2007","2007",,,"0","Units",,,10911.88,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2008","2008",,,"0","Units",,,11205.63,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2009","2009",,,"0","Units",,,11441.82,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2010","2010",,,"0","Units",,,11628.23,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2011","2011",,,"0","Units",,,11814.1,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2012","2012",,,"0","Units",,,11976.4,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2013","2013",,,"0","Units",,,12144.32,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2014","2014",,,"0","Units",,,12286.8,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2015","2015",,,"0","Units",,,12524.53,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2016","2016",,,"0","Units",,,12698.14,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2017","2017",,,"0","Units",,,12977.56,,
"AUS","Australia","YGTT07L1_ST","Labour force","A","Annual","2018","2018",,,"0","Units",,,13287.7,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2005","2005",,,"0","Units",,,4681.721,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2006","2006",,,"0","Units",,,4800.993,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2007","2007",,,"0","Units",,,4938.061,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2008","2008",,,"0","Units",,,5083.037,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2009","2009",,,"0","Units",,,5207.658,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2010","2010",,,"0","Units",,,5284.923,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2011","2011",,,"0","Units",,,5391.932,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2012","2012",,,"0","Units",,,5479.015,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2013","2013",,,"0","Units",,,5568.422,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2014","2014",,,"0","Units",,,5657.377,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2015","2015",,,"0","Units",,,5790.826,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2016","2016",,,"0","Units",,,5911.28,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2017","2017",,,"0","Units",,,6066.94,,
"AUS","Australia","YGFE07L1_ST","Labour force females","A","Annual","2018","2018",,,"0","Units",,,6234.487,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2005","2005",,,"0","Units",,,5722.503,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2006","2006",,,"0","Units",,,5831.723,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2007","2007",,,"0","Units",,,5973.816,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2008","2008",,,"0","Units",,,6122.598,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2009","2009",,,"0","Units",,,6234.16,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2010","2010",,,"0","Units",,,6343.306,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2011","2011",,,"0","Units",,,6422.17,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2012","2012",,,"0","Units",,,6497.384,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2013","2013",,,"0","Units",,,6575.896,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2014","2014",,,"0","Units",,,6629.424,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2015","2015",,,"0","Units",,,6733.703,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2016","2016",,,"0","Units",,,6786.857,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2017","2017",,,"0","Units",,,6910.618,,
"AUS","Australia","YGMA07L1_ST","Labour force males","A","Annual","2018","2018",,,"0","Units",,,7053.211,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2005","2005",,,"0","Units",,,9880.634,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2006","2006",,,"0","Units",,,10124.23,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2007","2007",,,"0","Units",,,10434.27,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2008","2008",,,"0","Units",,,10731.17,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2009","2009",,,"0","Units",,,10805.58,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2010","2010",,,"0","Units",,,11022.24,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2011","2011",,,"0","Units",,,11213.82,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2012","2012",,,"0","Units",,,11350.8,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2013","2013",,,"0","Units",,,11456.71,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2014","2014",,,"0","Units",,,11540.16,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2015","2015",,,"0","Units",,,11766.27,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2016","2016",,,"0","Units",,,11973.09,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2017","2017",,,"0","Units",,,12251.97,,
"AUS","Australia","YGTT08L1_ST","Employment","A","Annual","2018","2018",,,"0","Units",,,12583.66,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2005","2005",,,"0","Units",,,4437.336,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2006","2006",,,"0","Units",,,4564.704,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2007","2007",,,"0","Units",,,4701.819,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2008","2008",,,"0","Units",,,4850.724,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2009","2009",,,"0","Units",,,4926.391,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2010","2010",,,"0","Units",,,5000.834,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2011","2011",,,"0","Units",,,5105.946,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2012","2012",,,"0","Units",,,5187.249,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2013","2013",,,"0","Units",,,5256.074,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2014","2014",,,"0","Units",,,5308.238,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2015","2015",,,"0","Units",,,5439.183,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2016","2016",,,"0","Units",,,5569.702,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2017","2017",,,"0","Units",,,5723.122,,
"AUS","Australia","YGFE08L1_ST","Employment females","A","Annual","2018","2018",,,"0","Units",,,5902.943,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2005","2005",,,"0","Units",,,44.90943,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2006","2006",,,"0","Units",,,45.08694,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2007","2007",,,"0","Units",,,45.06132,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2008","2008",,,"0","Units",,,45.20219,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2009","2009",,,"0","Units",,,45.59119,,
"AUS","Australia","YGFE08PE_ST","Employment females as % of employment ","A","Annual","2010","2010",,,"0","Units",,,45.37038,,
