"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1970",12.6581336508409,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1971",12.8225878967719,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1972",14.1516071320884,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1973",13.14872577648,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1974",14.2780853874476,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1975",13.519715500877,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1976",14.019401711181,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1977",13.6247962714094,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1978",14.3084823800248,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1979",16.4354314365845,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1980",14.9084407987275,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1981",13.5376450624665,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1982",13.591355329171,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1983",13.5768448481099,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1984",15.256285855336,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1985",15.0088379956963,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1986",15.4927408402985,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1987",15.9869091358177,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1988",15.1483820412428,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1989",15.1465253618254,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1990",16.0614073605837,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1991",16.6913644541237,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1992",17.5727914477097,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1993",18.0053117827537,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1994",17.9168848710084,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1995",18.9391943502546,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1996",19.1748110450196,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1997",19.5955769201339,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1998",18.3438927598724,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","1999",19.4346594389549,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2000",22.2257207126709,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2001",20.77459420115,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2002",19.0950858969237,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2003",17.2032857977397,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2004",18.2651015697588,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2005",19.8939212990376,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2006",20.2036088949588,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2007",20.1616732338809,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2008",23.0048129381936,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2009",19.810007754315,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2010",21.4364170540906,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2011",21.4808284059974,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2012",19.9561676149363,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2013",21.0394549992806,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2014",19.984845509759,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2015",19.2510570754507,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2016",21.1932001494647,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2017",21.8046575994119,
"AUS","TRADEGOODSERV","EXP","PC_GDP","A","2018",24.131054833339,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1970",12.9334722428933,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1971",11.9705961694092,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1972",11.0177498140591,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1973",13.2134324396071,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1974",14.7320048343124,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1975",13.3803493764567,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1976",14.6501654974291,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1977",14.5903029956443,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1978",15.3566579810603,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1979",15.9087358562151,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1980",16.7402821048757,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1981",16.8295238420627,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1982",15.6235296605465,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1983",15.005295766199,
