"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.94864740944519,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.91140094445696,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.61076787290378,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.08126858275517,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.99838187702266,,
"CPALTT01","Consumer prices: all items","AUT","Austria","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.53089553422701,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.12597086002609,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.05316499865182,,
"CPALTT01","Consumer prices: all items","BEL","Belgium","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.43681956996435,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.59688412852967,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.268225672481,,
"CPALTT01","Consumer prices: all items","CAN","Canada","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.94926902411599,,
"CPALTT01","Consumer prices: all items","CZE","Czech Republic","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.45053398460135,,
"CPALTT01","Consumer prices: all items","CZE","Czech Republic","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.14949494949495,,
"CPALTT01","Consumer prices: all items","CZE","Czech Republic","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,2.84787595918045,,
"CPALTT01","Consumer prices: all items","DNK","Denmark","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.14713216957604,,
"CPALTT01","Consumer prices: all items","DNK","Denmark","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.813609467455652,,
"CPALTT01","Consumer prices: all items","DNK","Denmark","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.758131572511587,,
"CPALTT01","Consumer prices: all items","FIN","Finland","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.754015047084425,,
"CPALTT01","Consumer prices: all items","FIN","Finland","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.08382098409295,,
"CPALTT01","Consumer prices: all items","FIN","Finland","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.02409392963433,,
"CPALTT01","Consumer prices: all items","FRA","France","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.03228275064672,,
"CPALTT01","Consumer prices: all items","FRA","France","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.85081508315492,,
"CPALTT01","Consumer prices: all items","FRA","France","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.10825492288292,,
"CPALTT01","Consumer prices: all items","DEU","Germany","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.50949655801603,,
"CPALTT01","Consumer prices: all items","DEU","Germany","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.73216766075663,,
"CPALTT01","Consumer prices: all items","DEU","Germany","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.44566701469763,,
"CPALTT01","Consumer prices: all items","GRC","Greece","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.12125901329889,,
"CPALTT01","Consumer prices: all items","GRC","Greece","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,0.625620515629151,,
"CPALTT01","Consumer prices: all items","GRC","Greece","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,0.252992757388909,,
"CPALTT01","Consumer prices: all items","HUN","Hungary","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.34824281150156,,
"CPALTT01","Consumer prices: all items","HUN","Hungary","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.85024792594639,,
"CPALTT01","Consumer prices: all items","HUN","Hungary","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.33858635382014,,
"CPALTT01","Consumer prices: all items","ISL","Iceland","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.76041279182526,,
"CPALTT01","Consumer prices: all items","ISL","Iceland","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.68291508738403,,
