"IND","Indicator","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"PMR","Product market regulation","AUS","Australia","1998","1998",1.72119,,
"PMR","Product market regulation","AUS","Australia","2003","2003",1.3379437,,
"PMR","Product market regulation","AUS","Australia","2008","2008",1.4419471,,
"PMR","Product market regulation","AUS","Australia","2013","2013",1.2742647,,
"STC","State control","AUS","Australia","1998","1998",2.2771125,,
"STC","State control","AUS","Australia","2003","2003",1.5882808,,
"STC","State control","AUS","Australia","2008","2008",2.1430373,,
"STC","State control","AUS","Australia","2013","2013",1.9411042,,
"BTE","Barriers to entrepreneurship","AUS","Australia","1998","1998",1.9374232,,
"BTE","Barriers to entrepreneurship","AUS","Australia","2003","2003",1.7560614,,
"BTE","Barriers to entrepreneurship","AUS","Australia","2008","2008",1.6528039,,
"BTE","Barriers to entrepreneurship","AUS","Australia","2013","2013",1.6903263,,
"BTI","Barriers to trade and investment","AUS","Australia","1998","1998",0.94903415,,
"BTI","Barriers to trade and investment","AUS","Australia","2003","2003",0.66948867,,
"BTI","Barriers to trade and investment","AUS","Australia","2008","2008",0.52999997,,
"BTI","Barriers to trade and investment","AUS","Australia","2013","2013",0.19136363,,
"PMR","Product market regulation","AUT","Austria","1998","1998",2.1234574,,
"PMR","Product market regulation","AUT","Austria","2003","2003",1.6083512,,
"PMR","Product market regulation","AUT","Austria","2008","2008",1.3725717,,
"PMR","Product market regulation","AUT","Austria","2013","2013",1.1917588,,
"STC","State control","AUT","Austria","1998","1998",3.0901964,,
"STC","State control","AUT","Austria","2003","2003",2.3328528,,
"STC","State control","AUT","Austria","2008","2008",1.9499971,,
"STC","State control","AUT","Austria","2013","2013",1.6704669,,
"BTE","Barriers to entrepreneurship","AUT","Austria","1998","1998",2.4987772,,
"BTE","Barriers to entrepreneurship","AUT","Austria","2003","2003",1.7865123,,
"BTE","Barriers to entrepreneurship","AUT","Austria","2008","2008",1.4620292,,
"BTE","Barriers to entrepreneurship","AUT","Austria","2013","2013",1.3089201,,
"BTI","Barriers to trade and investment","AUT","Austria","1998","1998",0.78139889,,
"BTI","Barriers to trade and investment","AUT","Austria","2003","2003",0.70568871,,
"BTI","Barriers to trade and investment","AUT","Austria","2008","2008",0.70568871,,
"BTI","Barriers to trade and investment","AUT","Austria","2013","2013",0.59588921,,
"PMR","Product market regulation","BEL","Belgium","1998","1998",2.2956553,,
"PMR","Product market regulation","BEL","Belgium","2003","2003",1.6355857,,
"PMR","Product market regulation","BEL","Belgium","2008","2008",1.5201353,,
"PMR","Product market regulation","BEL","Belgium","2013","2013",1.3856595,,
"STC","State control","BEL","Belgium","1998","1998",3.1581228,,
"STC","State control","BEL","Belgium","2003","2003",2.3452258,,
"STC","State control","BEL","Belgium","2008","2008",2.1467278,,
"STC","State control","BEL","Belgium","2013","2013",2.1918879,,
"BTE","Barriers to entrepreneurship","BEL","Belgium","1998","1998",3.0225079,,
"BTE","Barriers to entrepreneurship","BEL","Belgium","2003","2003",2.258605,,
"BTE","Barriers to entrepreneurship","BEL","Belgium","2008","2008",2.117002,,
"BTE","Barriers to entrepreneurship","BEL","Belgium","2013","2013",1.7805735,,
"BTI","Barriers to trade and investment","BEL","Belgium","1998","1998",0.70633519,,
"BTI","Barriers to trade and investment","BEL","Belgium","2003","2003",0.30292615,,
"BTI","Barriers to trade and investment","BEL","Belgium","2008","2008",0.29667616,,
"BTI","Barriers to trade and investment","BEL","Belgium","2013","2013",0.18451704,,
"PMR","Product market regulation","CAN","Canada","1998","1998",1.905069,,
"PMR","Product market regulation","CAN","Canada","2003","2003",1.6372805,,
"PMR","Product market regulation","CAN","Canada","2008","2008",1.5320138,,
"PMR","Product market regulation","CAN","Canada","2013","2013",1.4248413,,
"STC","State control","CAN","Canada","1998","1998",2.1474288,,
"STC","State control","CAN","Canada","2003","2003",2.0800376,,
"STC","State control","CAN","Canada","2008","2008",1.9603789,,
"STC","State control","CAN","Canada","2013","2013",1.9195344,,
"BTE","Barriers to entrepreneurship","CAN","Canada","1998","1998",1.821101,,
"BTE","Barriers to entrepreneurship","CAN","Canada","2003","2003",1.4356947,,
"BTE","Barriers to entrepreneurship","CAN","Canada","2008","2008",1.3638712,,
"BTE","Barriers to entrepreneurship","CAN","Canada","2013","2013",1.3438802,,
"BTI","Barriers to trade and investment","CAN","Canada","1998","1998",1.7466774,,
"BTI","Barriers to trade and investment","CAN","Canada","2003","2003",1.3961092,,
"BTI","Barriers to trade and investment","CAN","Canada","2008","2008",1.2717911,,
"BTI","Barriers to trade and investment","CAN","Canada","2013","2013",1.0111092,,
"PMR","Product market regulation","CZE","Czech Republic","1998","1998",2.6489711,,
"PMR","Product market regulation","CZE","Czech Republic","2003","2003",1.8857677,,
"PMR","Product market regulation","CZE","Czech Republic","2008","2008",1.5084602,,
"PMR","Product market regulation","CZE","Czech Republic","2013","2013",1.4054153,,
"STC","State control","CZE","Czech Republic","1998","1998",3.3066993,,
"STC","State control","CZE","Czech Republic","2003","2003",2.609376,,
"STC","State control","CZE","Czech Republic","2008","2008",2.1442361,,
"STC","State control","CZE","Czech Republic","2013","2013",1.9817952,,
"BTE","Barriers to entrepreneurship","CZE","Czech Republic","1998","1998",2.771096,,
