# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿ref_area.label,indicator.label,source.label,time,cbc_value
Albania,Collective bargaining coverage rate (%),ALB - ADM - Administrative records and related sources,2009,40.6
Albania,Collective bargaining coverage rate (%),ALB - ADM - Administrative records and related sources,2012,47.9
Albania,Collective bargaining coverage rate (%),ALB - ADM - Administrative records and related sources,2013,58
Argentina,Collective bargaining coverage rate (%),"ARG - ADM - Estimaciones basadas en Registros del Ministerio de Trabajo, Empleo y Seguridad Social",2008,50.9
Argentina,Collective bargaining coverage rate (%),"ARG - ADM - Estimaciones basadas en Registros del Ministerio de Trabajo, Empleo y Seguridad Social",2009,50.6
Argentina,Collective bargaining coverage rate (%),"ARG - ADM - Estimaciones basadas en Registros del Ministerio de Trabajo, Empleo y Seguridad Social",2010,52.4
Argentina,Collective bargaining coverage rate (%),"ARG - ADM - Estimaciones basadas en Registros del Ministerio de Trabajo, Empleo y Seguridad Social",2011,51.2
Argentina,Collective bargaining coverage rate (%),"ARG - ADM - Estimaciones basadas en Registros del Ministerio de Trabajo, Empleo y Seguridad Social",2012,50.5
Argentina,Collective bargaining coverage rate (%),"ARG - ADM - Estimaciones basadas en Registros del Ministerio de Trabajo, Empleo y Seguridad Social",2013,51.5
Argentina,Collective bargaining coverage rate (%),"ARG - ADM - Estimaciones basadas en Registros del Ministerio de Trabajo, Empleo y Seguridad Social",2014,51
Argentina,Collective bargaining coverage rate (%),"ARG - ADM - Estimaciones basadas en Registros del Ministerio de Trabajo, Empleo y Seguridad Social",2015,52.9
Argentina,Collective bargaining coverage rate (%),"ARG - ADM - Estimaciones basadas en Registros del Ministerio de Trabajo, Empleo y Seguridad Social",2016,51.8
Armenia,Collective bargaining coverage rate (%),ARM - ADM-RWO - Records from branch republican Unions,2009,25.3
Armenia,Collective bargaining coverage rate (%),ARM - ADM-RWO - Records from branch republican Unions,2010,25.1
Armenia,Collective bargaining coverage rate (%),ARM - ADM-RWO - Records from branch republican Unions,2015,24.9
Australia,Collective bargaining coverage rate (%),"AUS - OS - Estimations based on administrative data, collective agreements and awards",2000,47.9
Australia,Collective bargaining coverage rate (%),"AUS - OS - Estimations based on administrative data, collective agreements and awards",2002,48.2
Australia,Collective bargaining coverage rate (%),"AUS - OS - Estimations based on administrative data, collective agreements and awards",2004,51.1
Australia,Collective bargaining coverage rate (%),"AUS - OS - Estimations based on administrative data, collective agreements and awards",2006,50.9
Australia,Collective bargaining coverage rate (%),"AUS - OS - Estimations based on administrative data, collective agreements and awards",2008,47.7
Australia,Collective bargaining coverage rate (%),"AUS - OS - Estimations based on administrative data, collective agreements and awards",2010,51.2
Australia,Collective bargaining coverage rate (%),"AUS - OS - Estimations based on administrative data, collective agreements and awards",2012,50.1
Australia,Collective bargaining coverage rate (%),"AUS - OS - Estimations based on administrative data, collective agreements and awards",2014,50.6
